id,title,thumbnailUrl,caption
F_iUZ_4wow8,"Relaxing Christmas Background, Cozy Christmas Ambience with a Crackling Fireplace & Snow Falling",https://i.ytimg.com/vi/F_iUZ_4wow8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCEDz9MDFjQFJLs8U9vYr_o8akCUQ,Christmas ambience with crackling fireplace sounds and falling snow.
vv_OXBHrgDQ,"Nature Sounds for Sleeping, Summer Night Pond Ambience, Soft Frogs and Crickets",https://i.ytimg.com/vi/vv_OXBHrgDQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAKqCC6AO-V2bUCMnoD0tRarR2LrA,Pond night sounds with frogs and crickets.
szN8JRewMDk,"Enchanted Mushroom Forest Ambience, Relaxing Music, Nature Sound, Crickets & Trickling Water",https://i.ytimg.com/vi/szN8JRewMDk/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDcNRMAPkW0sHTw63mJwynU4m8a4Q,"Forest ambience with relaxing music, nature sounds including crickets and trickling water."
Jf2FXEKuH08,"Creaky Wooden Pirate Ship and Relaxing Ocean Sounds, Sleep Ambience",https://i.ytimg.com/vi/Jf2FXEKuH08/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDJUcz5hB8SA55WCSPtvMR2K8AiNw,Pirate ship sounds with creaking wood and ambient ocean waves.
BEiMVPTdTI0,"Adrift on the Dream Sea, Relaxing Ocean Ambience, Crackling Fire and Wave Sounds for Deep Sleep",https://i.ytimg.com/vi/BEiMVPTdTI0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBtqmnwCsOk0dzOBraberV9MV1EXQ,Ocean ambience with crackling fire and gentle wave sounds.
HcS2Ctmir-s,"Polar Blizzard Snow Storm & Howling Wind Sound for Sleep, Study, and Relaxation",https://i.ytimg.com/vi/HcS2Ctmir-s/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA3ANly63L-CBUFLGwUi3-kZsX1HQ,"Polar blizzard ambience, featuring snow storm and howling wind sound effects."
u355MGOwPCI,"Spring Mushroom Cottage Ambience, Nature Sounds & Crickets to Read, Relax & Study, Background Noise",https://i.ytimg.com/vi/u355MGOwPCI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCKMBdVXyi6ZZpnDttkHTQ6GfMBIQ,Forest ambience with nature sounds and crickets chirping.
h0XAD2Nxhfo,"The Wasteland, Fallout Inspired Night Ambience, Soothing Wind Sounds & Relaxing Solitude",https://i.ytimg.com/vi/h0XAD2Nxhfo/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLB1R2yCQh0gwgDjYO53eXd4EXHXTw,Post-apocalyptic ambience with soothing wind sounds and distant city noises.
5jpXahcbtrI,"Enchanted Castle Night Ambience, Nature Sounds to Relax & Sleep, Cricket Sounds, Tinnitus Relief",https://i.ytimg.com/vi/5jpXahcbtrI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAg6bzaa_HK6Hz8G5fp7GpJuCv69w,Castle night ambience with nature sounds and crickets chirping.
Z9wWmJNuOd0,"Spring Cottage Night Ambience, Nature Sounds for Relaxation & Sleep, Cricket Sounds, Tinnitus Relief",https://i.ytimg.com/vi/Z9wWmJNuOd0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA_1GaorHOsy6TLXyeJL-1MXc6TjQ,"Nighttime rural ambience, featuring cottage surrounded by nature with crickets chirping."
zr5lll3Zn_Y,Haunted Forest Cemetery at Night Ambience,https://i.ytimg.com/vi/zr5lll3Zn_Y/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCMSVfmXd3WTLX0o3oEX3kXH43Iug,"Eerie forest cemetery sounds with owls hooting, trees rustling, and the occasional distant howl."
O-TAJv8eV8w,"Spring Cottage Ambience, Nature Sounds, Birdsong for Reading, Writing & Relaxing, Spring Background",https://i.ytimg.com/vi/O-TAJv8eV8w/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAFYb_wxYIQP4R99hCCsYtbf_F76w,Nature sounds with bird songs in a springtime setting.
NGxWqC4N28w,Dark Scary Haunted Forest at Night Ambience,https://i.ytimg.com/vi/NGxWqC4N28w/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAj7YvqupGphjMkzF94vRdrvdHTWg,Forest at night ambience with eerie sounds and haunting background effects.
3UlLA2knusI,"Jungle Oasis Ambience, Tropical Rainforest & Nature Sounds for Reading, Writing & Relaxing",https://i.ytimg.com/vi/3UlLA2knusI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA0zuNEbQTBRKeWRH-5_yqIeF9EEw,"Rainforest ambience, nature sounds with tropical birds and flowing water."
ul-tUjluGAk,Nuclear Apocalypse Aftermath Ambience,https://i.ytimg.com/vi/ul-tUjluGAk/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDz9mmEvIwQP4zRv2aIANnSOybtog,"Post-apocalyptic city ambience with distant explosions, rubble shifting, and eerie silence."
